timestamp,total_water_quantity_ticks,total_water_products_ticks,total_water_rinse_ticks,total_water_cleaning_ticks,rfu,total_coffee_bean_quantity_g,total_coffee_beans_left_rear_g,total_coffee_beans_right_front_g,total_coffee_powder_chute_g,cleaning_counter,brewcycles_left,brewcycles_right,cycles_rinse_clean_left,cycles_rinse_clean_right,time_milk_cs,heating_time_boiler_left_cs,heating_time_boiler_right_cs,time_hot_water_cs,time_steam_left_cs,time_steam_right_cs,heat_time_steam_boiler_1_cs,heat_time_steam_boiler_2_cs,time_air_pump_cs,milk_cycles_left,milk_cycles_right,reset_date_day,reset_date_month,reset_date_year,rfu2,reset_time_second,reset_time_minute,reset_time_hour,rfu3,time_milk_steam_left_cs,time_milk_steam_right_cs,total_coffee_beans_grinder_adjustment_g,absolute_counter,time_powder_cs,total_powder_quantity_left_g,total_powder_quantity_right_g,total_coffee_beans_3_g,total_coffee_beans_4_g
1782836369,489484,171293,115213,201758,0,22030,9004,11032,0,76,1552,0,398,0,89643,0,0,104,0,0,0,0,69172,588,0,12,6,25,0,23,36,15,0,155744,0,331,2061,0,0,0,1663,0
1782836373,489484,171293,115213,201758,0,22030,9004,11032,0,76,1552,0,398,0,89643,0,0,104,0,0,0,0,69172,588,0,12,6,25,0,23,36,15,0,155744,0,331,2061,0,0,0,1663,0
1782836375,489484,171293,115213,201758,0,22030,9004,11032,0,76,1552,0,398,0,89643,0,0,104,0,0,0,0,69172,588,0,12,6,25,0,23,36,15,0,155744,0,331,2061,0,0,0,1663,0
1782836378,489484,171293,115213,201758,0,22030,9004,11032,0,76,1552,0,398,0,89643,0,0,104,0,0,0,0,69172,588,0,12,6,25,0,23,36,15,0,155744,0,331,2061,0,0,0,1663,0
1782836381,489484,171293,115213,201758,0,22030,9004,11032,0,76,1552,0,398,0,89643,0,0,104,0,0,0,0,69172,588,0,12,6,25,0,23,36,15,0,155744,0,331,2061,0,0,0,1663,0
1782836384,489484,171293,115213,201758,0,22030,9004,11032,0,76,1552,0,398,0,89643,0,0,104,0,0,0,0,69172,588,0,12,6,25,0,23,36,15,0,155744,0,331,2061,0,0,0,1663,0
1782836388,489484,171293,115213,201758,0,22030,9004,11032,0,76,1552,0,398,0,89643,0,0,104,0,0,0,0,69172,588,0,12,6,25,0,23,36,15,0,155744,0,331,2061,0,0,0,1663,0
1782836390,489484,171293,115213,201758,0,22030,9004,11032,0,76,1552,0,398,0,89643,0,0,104,0,0,0,0,69172,588,0,12,6,25,0,23,36,15,0,155744,0,331,2061,0,0,0,1663,0
1782836392,489484,171293,115213,201758,0,22030,9004,11032,0,76,1552,0,398,0,89643,0,0,104,0,0,0,0,69172,588,0,12,6,25,0,23,36,15,0,155744,0,331,2061,0,0,0,1663,0
1782836407,489743,171293,115213,202017,0,22030,9004,11032,0,76,1552,0,398,0,89643,0,0,104,0,0,0,0,69172,588,0,12,6,25,0,23,36,15,0,155744,0,331,2061,0,0,0,1663,0
1782836412,489743,171293,115213,202017,0,22030,9004,11032,0,76,1552,0,398,0,89643,0,0,104,0,0,0,0,69172,588,0,12,6,25,0,23,36,15,0,155744,0,331,2061,0,0,0,1663,0
1782836419,489743,171293,115213,202017,0,22030,9004,11032,0,76,1552,0,398,0,89643,0,0,104,0,0,0,0,69172,588,0,12,6,25,0,23,36,15,0,155744,0,331,2061,0,0,0,1663,0
1782836618,489956,171293,115213,202230,0,22030,9004,11032,0,77,1552,0,399,0,89643,0,0,104,0,0,0,0,69272,588,0,12,6,25,0,23,36,15,0,155744,0,331,2061,0,0,0,1663,0
1782836664,490056,171293,115243,202300,0,22030,9004,11032,0,77,1552,0,399,0,89643,0,0,104,0,0,0,0,69272,588,0,12,6,25,0,23,36,15,0,155744,0,331,2061,0,0,0,1663,0
1782836712,490056,171293,115243,202300,0,22030,9004,11032,0,77,1552,0,399,0,89643,0,0,104,0,0,0,0,69272,588,0,12,6,25,0,23,36,15,0,155744,0,331,2061,0,0,0,1663,0
1782836718,490056,171293,115243,202300,0,22030,9004,11032,0,77,1552,0,399,0,89643,0,0,104,0,0,0,0,69272,588,0,12,6,25,0,23,36,15,0,155744,0,331,2061,0,0,0,1663,0
1782836746,490056,171293,115243,202300,0,22030,9004,11032,0,77,1552,0,399,0,89643,0,0,104,0,0,0,0,69272,588,0,12,6,25,0,23,36,15,0,155744,0,331,2061,0,0,0,1663,0
1782836751,490056,171293,115243,202300,0,22030,9004,11032,0,77,1552,0,399,0,89643,0,0,104,0,0,0,0,69272,588,0,12,6,25,0,23,36,15,0,155744,0,331,2061,0,0,0,1663,0
1782836823,490056,171293,115243,202300,0,22030,9004,11032,0,77,1552,0,399,0,89643,0,0,104,0,0,0,0,69272,588,0,12,6,25,0,23,36,15,0,157342,0,331,2061,0,0,0,1663,0
1782836830,490056,171293,115243,202300,0,22030,9004,11032,0,77,1552,0,399,0,89643,0,0,104,0,0,0,0,69272,588,0,12,6,25,0,23,36,15,0,157342,0,331,2061,0,0,0,1663,0
1782836847,490576,171293,115243,202820,0,22030,9004,11032,0,77,1552,0,399,0,89643,0,0,104,0,0,0,0,69272,588,0,12,6,25,0,23,36,15,0,157482,0,331,2061,0,0,0,1663,0
1782838512,490576,171293,115243,202820,0,22030,9004,11032,0,77,1552,0,399,0,89643,0,0,104,0,0,0,0,69272,588,0,12,6,25,0,23,36,15,0,157482,0,331,2061,0,0,0,1663,0
1782838528,490576,171293,115243,202820,0,22030,9004,11032,0,77,1552,0,399,0,89643,0,0,104,0,0,0,0,69272,588,0,12,6,25,0,23,36,15,0,157482,0,331,2061,0,0,0,1663,0
1782886056,490576,171293,115243,202820,0,22030,9004,11032,0,77,1552,0,399,0,89643,0,0,104,0,0,0,0,69272,588,0,12,6,25,0,23,36,15,0,157482,0,331,2061,0,0,0,0,0
1782886062,490576,171293,115243,202820,0,22030,9004,11032,0,77,1552,0,399,0,89643,0,0,104,0,0,0,0,69272,588,0,12,6,25,0,23,36,15,0,157482,0,331,2061,0,0,0,1663,0
1782886074,490576,171293,115243,202820,0,22030,9004,11032,0,77,1552,0,399,0,89643,0,0,104,0,0,0,0,69272,588,0,12,6,25,0,23,36,15,0,157482,0,331,2061,0,0,0,1663,0
1782886086,490576,171293,115243,202820,0,22030,9004,11032,0,77,1552,0,399,0,89643,0,0,104,0,0,0,0,69272,588,0,12,6,25,0,23,36,15,0,157482,0,331,2061,0,0,0,1663,0
1782886092,490576,171293,115243,202820,0,22030,9004,11032,0,77,1552,0,399,0,89643,0,0,104,0,0,0,0,69272,588,0,12,6,25,0,23,36,15,0,157482,0,331,2061,0,0,0,1663,0
1782886098,490576,171293,115243,202820,0,22030,9004,11032,0,77,1552,0,399,0,89643,0,0,104,0,0,0,0,69272,588,0,12,6,25,0,23,36,15,0,157482,0,331,2061,0,0,0,1663,0
1782886115,490851,171293,115518,202820,0,22030,9004,11032,0,77,1552,0,400,0,89643,0,0,104,0,0,0,0,69272,588,0,12,6,25,0,23,36,15,0,157482,0,331,2061,0,0,0,1663,0
1782886122,490851,171293,115518,202820,0,22030,9004,11032,0,77,1552,0,400,0,89643,0,0,104,0,0,0,0,69272,588,0,12,6,25,0,23,36,15,0,157482,0,331,2061,0,0,0,1663,0
1782886155,490851,171293,115518,202820,0,22030,9004,11032,0,77,1552,0,400,0,89643,0,0,104,0,0,0,0,69272,588,0,12,6,25,0,23,36,15,0,157482,0,331,2061,0,0,0,1663,0
1782886592,490851,171293,115518,202820,0,22030,9004,11032,0,77,1552,0,400,0,89643,0,0,104,0,0,0,0,69272,588,0,12,6,25,0,23,36,15,0,157482,0,331,2061,0,0,0,1663,0
1782886883,491127,171569,115518,202820,0,22052,9004,11054,0,77,1553,0,400,0,89643,0,0,104,0,0,0,0,69272,588,0,12,6,25,0,23,36,15,0,157482,0,331,2063,0,0,0,1663,0
1782886922,491178,171620,115518,202820,0,22052,9004,11054,0,77,1553,0,400,0,89643,0,0,104,0,0,0,0,69272,588,0,12,6,25,0,23,36,15,0,157482,0,331,2063,0,0,0,1663,0
1782887154,491227,171620,115567,202820,0,22062,9014,11054,0,77,1554,0,400,0,89643,0,0,104,0,0,0,0,69272,589,0,12,6,25,0,23,36,15,0,157482,0,331,2064,0,0,0,1663,0
1782887204,491227,171620,115567,202820,0,22062,9014,11054,0,77,1554,0,400,0,89643,0,0,104,0,0,0,0,69272,589,0,12,6,25,0,23,36,15,0,157482,0,331,2064,0,0,0,1663,0
1782889202,491227,171620,115567,202820,0,22062,9014,11054,0,77,1554,0,400,0,89643,0,0,104,0,0,0,0,69272,589,0,12,6,25,0,23,36,15,0,157482,0,331,2064,0,0,0,1663,0
1782889266,491227,171620,115567,202820,0,22062,9014,11054,0,77,1554,0,400,0,89643,0,0,104,0,0,0,0,69272,589,0,12,6,25,0,23,36,15,0,157482,0,331,2064,0,0,0,1663,0
1782889541,491337,171671,115626,202820,0,22072,9024,11054,0,77,1555,0,400,0,89740,0,0,104,0,0,0,0,69325,590,0,12,6,25,0,23,36,15,0,157482,0,331,2065,0,0,0,1663,0
1782889674,491337,171671,115626,202820,0,22072,9024,11054,0,77,1555,0,400,0,89740,0,0,104,0,0,0,0,69325,590,0,12,6,25,0,23,36,15,0,157482,0,331,2065,0,0,0,1663,0
1782889683,491337,171671,115626,202820,0,22072,9024,11054,0,77,1555,0,400,0,89740,0,0,104,0,0,0,0,69325,590,0,12,6,25,0,23,36,15,0,157482,0,331,2065,0,0,0,1663,0
1782890653,491377,171671,115666,202820,0,22072,9024,11054,0,77,1555,0,400,0,89740,0,0,104,0,0,0,0,69325,590,0,12,6,25,0,23,36,15,0,157572,0,331,2065,0,0,0,1663,0
1782890721,491377,171671,115666,202820,0,22072,9024,11054,0,77,1555,0,400,0,89740,0,0,104,0,0,0,0,69325,590,0,12,6,25,0,23,36,15,0,157572,0,331,2065,0,0,0,1663,0
1782890786,491653,171947,115666,202820,0,22094,9024,11076,0,77,1556,0,400,0,89740,0,0,104,0,0,0,0,69325,590,0,12,6,25,0,23,36,15,0,157572,0,331,2067,0,0,0,1663,0
1782890846,491653,171947,115666,202820,0,22094,9024,11076,0,77,1556,0,400,0,89740,0,0,104,0,0,0,0,69325,590,0,12,6,25,0,23,36,15,0,157572,0,331,2067,0,0,0,1663,0
1782890988,491929,172223,115666,202820,0,22116,9024,11098,0,77,1557,0,400,0,89740,0,0,104,0,0,0,0,69325,590,0,12,6,25,0,23,36,15,0,157572,0,331,2069,0,0,0,1663,0
1782890989,491929,172223,115666,202820,0,22116,9024,11098,0,77,1557,0,400,0,89740,0,0,104,0,0,0,0,69325,590,0,12,6,25,0,23,36,15,0,157572,0,331,2069,0,0,0,1663,0
1782890993,491929,172223,115666,202820,0,22116,9024,11098,0,77,1557,0,400,0,89740,0,0,104,0,0,0,0,69325,590,0,12,6,25,0,23,36,15,0,157572,0,331,2069,0,0,0,1663,0
1782890998,491929,172223,115666,202820,0,22116,9024,11098,0,77,1557,0,400,0,89740,0,0,104,0,0,0,0,69325,590,0,12,6,25,0,23,36,15,0,157572,0,331,2069,0,0,0,1663,0
1782891002,491929,172223,115666,202820,0,22116,9024,11098,0,77,1557,0,400,0,89740,0,0,104,0,0,0,0,69325,590,0,12,6,25,0,23,36,15,0,157572,0,331,2069,0,0,0,1663,0
1782891003,491929,172223,115666,202820,0,22116,9024,11098,0,77,1557,0,400,0,89740,0,0,104,0,0,0,0,69325,590,0,12,6,25,0,23,36,15,0,157572,0,331,2069,0,0,0,1663,0
1782891109,492060,172223,115797,202820,0,22116,9024,11098,0,77,1557,0,401,0,89740,0,0,104,0,0,0,0,69325,590,0,12,6,25,0,23,36,15,0,157615,0,331,2069,0,0,0,1663,0
1782891171,492336,172499,115797,202820,0,22116,9024,11098,0,77,1557,0,401,0,89740,0,0,104,0,0,0,0,69325,590,0,12,6,25,0,23,36,15,0,157615,0,331,2069,0,0,0,1663,0
1782891369,492336,172499,115797,202820,0,22138,9024,11120,0,77,1558,0,401,0,89740,0,0,104,0,0,0,0,69325,590,0,12,6,25,0,23,36,15,0,157615,0,331,2071,0,0,0,1663,0
1782891690,492376,172539,115797,202820,0,22147,9033,11120,0,77,1559,0,401,0,89740,0,0,104,0,0,0,0,69325,590,0,12,6,25,0,23,36,15,0,157615,0,331,2072,0,0,0,1663,0
1782891852,492376,172539,115797,202820,0,22147,9033,11120,0,77,1559,0,401,0,89740,0,0,104,0,0,0,0,69325,590,0,12,6,25,0,23,36,15,0,157615,0,331,2072,0,0,0,1663,0
